@RELATION compras_bicicleta

@attribute Bicicleta {Goldenrod,Echimyschrysurus,Helogaleundulata,Vulpescinero,Corvusbrach,Coluberconst,Felisconcolor,Tockuseryth,Laniatroc,Tetradacly}
@attribute Cor {Amarelo,Azul,Branco,Laranja,Preto,Rosa,Verde,Vermelho}

@data
Felisconcolor,Rosa
Felisconcolor,Rosa
Goldenrod,Branco
Felisconcolor,Rosa
Tockuseryth,Amarelo
Corvusbrach,Azul
Corvusbrach,Azul
Laniatroc,Vermelho
Goldenrod,Branco
Felisconcolor,Rosa
Echimyschrysurus,Preto
Corvusbrach,Azul
Tockuseryth,Amarelo
Felisconcolor,Rosa
Laniatroc,Vermelho
Vulpescinero,Verde
Echimyschrysurus,Preto
Laniatroc,Vermelho
Echimyschrysurus,Preto
Tetradacly,Laranja
Echimyschrysurus,Preto
Laniatroc,Vermelho
Tetradacly,Laranja
Echimyschrysurus,Preto
Coluberconst,Preto
Felisconcolor,Rosa
Helogaleundulata,Rosa
Corvusbrach,Azul
Laniatroc,Vermelho
Tockuseryth,Amarelo
Felisconcolor,Rosa
Felisconcolor,Rosa
Vulpescinero,Verde
Corvusbrach,Azul
Tockuseryth,Amarelo
Laniatroc,Vermelho
Tetradacly,Laranja
Goldenrod,Branco
Coluberconst,Preto
Helogaleundulata,Rosa
Tockuseryth,Amarelo
Coluberconst,Preto
Laniatroc,Vermelho
Echimyschrysurus,Preto
Laniatroc,Vermelho
Vulpescinero,Verde
Coluberconst,Preto
Helogaleundulata,Rosa
Corvusbrach,Azul
Goldenrod,Branco
Coluberconst,Preto
Laniatroc,Vermelho
Tetradacly,Laranja
Echimyschrysurus,Preto
Laniatroc,Vermelho
Tetradacly,Laranja
Felisconcolor,Rosa
Echimyschrysurus,Preto
Tetradacly,Laranja
Tockuseryth,Amarelo
Laniatroc,Vermelho
Tetradacly,Laranja
Goldenrod,Branco
Vulpescinero,Verde
Helogaleundulata,Rosa
Echimyschrysurus,Preto
Vulpescinero,Verde
Helogaleundulata,Rosa
Vulpescinero,Verde
Goldenrod,Branco
Goldenrod,Branco
Vulpescinero,Verde
Corvusbrach,Azul
Laniatroc,Vermelho
Echimyschrysurus,Preto
Tockuseryth,Amarelo
Tockuseryth,Amarelo
Corvusbrach,Azul
Vulpescinero,Verde
Tockuseryth,Amarelo
Coluberconst,Preto
Echimyschrysurus,Preto
Laniatroc,Vermelho
Vulpescinero,Verde
Goldenrod,Branco
Goldenrod,Branco
Coluberconst,Preto
Corvusbrach,Azul
Tetradacly,Laranja
Vulpescinero,Verde
Goldenrod,Branco
Vulpescinero,Verde
Helogaleundulata,Rosa
Echimyschrysurus,Preto
Coluberconst,Preto
Laniatroc,Vermelho
Goldenrod,Branco
Corvusbrach,Azul
Tetradacly,Laranja
Tetradacly,Laranja
Laniatroc,Vermelho
Laniatroc,Vermelho
Vulpescinero,Verde
Felisconcolor,Rosa
Goldenrod,Branco
Coluberconst,Preto
Echimyschrysurus,Preto
Tockuseryth,Amarelo
Coluberconst,Preto
Corvusbrach,Azul
Tockuseryth,Amarelo
Echimyschrysurus,Preto
Vulpescinero,Verde
Laniatroc,Vermelho
Helogaleundulata,Rosa
Tetradacly,Laranja
Goldenrod,Branco
Vulpescinero,Verde
Helogaleundulata,Rosa
Helogaleundulata,Rosa
Echimyschrysurus,Preto
Tetradacly,Laranja
